voice,language,language_code,gender,service
sk-SK-Wavenet-A,Slovak,sk-SK,FEMALE,google
sr-RS-Standard-A,NA,sr-RS,FEMALE,google
sv-SE-Wavenet-A,Swedish,sv-SE,FEMALE,google
sv-SE-Standard-C,Swedish,sv-SE,FEMALE,google
sv-SE-Standard-E,Swedish,sv-SE,MALE,google
sv-SE-Wavenet-D,Swedish,sv-SE,FEMALE,google
sv-SE-Wavenet-C,Swedish,sv-SE,MALE,google
sv-SE-Standard-D,Swedish,sv-SE,MALE,google
sv-SE-Standard-A,Swedish,sv-SE,FEMALE,google
sv-SE-Standard-B,Swedish,sv-SE,FEMALE,google
sv-SE-Wavenet-B,Swedish,sv-SE,FEMALE,google
sv-SE-Wavenet-E,Swedish,sv-SE,MALE,google
ta-IN-Wavenet-D,Tamil (India),ta-IN,MALE,google
ta-IN-Standard-C,Tamil (India),ta-IN,FEMALE,google
ta-IN-Wavenet-A,Tamil (India),ta-IN,FEMALE,google
ta-IN-Wavenet-B,Tamil (India),ta-IN,MALE,google
ta-IN-Wavenet-C,Tamil (India),ta-IN,FEMALE,google
ta-IN-Standard-B,Tamil (India),ta-IN,MALE,google
ta-IN-Standard-D,Tamil (India),ta-IN,MALE,google
ta-IN-Standard-A,Tamil (India),ta-IN,FEMALE,google
te-IN-Standard-B,Telugu (India),te-IN,MALE,google
te-IN-Standard-A,Telugu (India),te-IN,FEMALE,google
th-TH-Standard-A,Thai,th-TH,FEMALE,google
th-TH-Neural2-C,Thai,th-TH,FEMALE,google
tr-TR-Standard-E,Turkish,tr-TR,MALE,google
tr-TR-Wavenet-C,Turkish,tr-TR,FEMALE,google
tr-TR-Wavenet-D,Turkish,tr-TR,FEMALE,google
tr-TR-Standard-A,Turkish,tr-TR,FEMALE,google
tr-TR-Standard-C,Turkish,tr-TR,FEMALE,google
tr-TR-Standard-D,Turkish,tr-TR,FEMALE,google
tr-TR-Wavenet-E,Turkish,tr-TR,MALE,google
tr-TR-Wavenet-A,Turkish,tr-TR,FEMALE,google
tr-TR-Wavenet-B,Turkish,tr-TR,MALE,google
tr-TR-Standard-B,Turkish,tr-TR,MALE,google
uk-UA-Wavenet-A,Ukrainian (Ukraine),uk-UA,FEMALE,google
uk-UA-Standard-A,Ukrainian (Ukraine),uk-UA,FEMALE,google
vi-VN-Standard-A,Vietnamese,vi-VN,FEMALE,google
vi-VN-Neural2-D,Vietnamese,vi-VN,MALE,google
vi-VN-Neural2-A,Vietnamese,vi-VN,FEMALE,google
vi-VN-Standard-B,Vietnamese,vi-VN,MALE,google
